budget,revenue,actor,director,runtime,genre,profit
7000,424760,Shane Carruth,Shane Carruth,79,Science Fiction,417760
8000,469947,Tom Cullen,Andrew Haigh,96,Drama,461947
10000,7000000,Jack Nance,David Lynch,89,Science Fiction,6990000
12000,6000000,Divine,John Waters,93,Comedy,5988000
15000,193355800,Katie Featherston,Oren Peli,86,Horror,193340800
17000,101236,Evan Glodell,Evan Glodell,106,Action,84236
25000,248000000,Heather Donahue,Daniel Myrick,81,Horror,247975000
27000,3151130,Brian O'Halloran,Kevin Smith,92,Comedy,3124130
30000,3045943,Megan Faccio,Henry Joost,87,Documentary,3015943
30000,617000,James Franco,Rob Epstein,84,Drama,587000
31192,10000,Robert Hill,Ben Wheatley,89,Drama,-21192
40000,1434436,Robert Evans,Nanette Burstein,93,Documentary,1394436
45202,225861,Cindy Baer,Kevin Macdonald,95,Documentary,180659
50000,249905,Anessa Ramsey,David Bruckner,103,Horror,199905
60000,3221152,Sean Gullette,Darren Aronofsky,84,Mystery,3161152
65000,28575078,Morgan Spurlock,Morgan Spurlock,100,Documentary,28510078
74050,176153,Asia Argento,Asia Argento,98,Drama,102103
79000,245000,Danny McBride,Jody Hill,85,Comedy,166000
85000,30859000,Allen Danziger,Tobe Hooper,83,Horror,30774000
100000,10178331,James Blackwell,Alex Kendrick,111,Drama,10078331
100000,95000,Ross Noble,Conor McMahon,86,Horror,-5000
100000,1776935,Brit Marling,Mike Cahill,92,Drama,1676935
100000,490475,Uma Thurman,Richard Linklater,86,Drama,390475
100000,444098,Amy Seimetz,Shane Carruth,96,Drama,344098
100000,42664410,Cassidy Gifford,Travis Cluff,87,Horror,42564410
125000,3200000,Mark Duplass,Lynn Shelton,90,Drama,3075000
130000,54667954,Blanchard Ryan,Chris Kentis,79,Drama,54537954
134005,1332231,Li Bingbing,Wayne Wang,104,History,1198226
160000,20710513,Glen Hansard,John Carney,85,Drama,20550513
169000,18564702,Rowan Atkinson,Niall Johnson,103,Comedy,18395702
200000,4505922,Jon Favreau,Doug Liman,94,Comedy,4305922
200000,17834867,Jared Harris,John Pogue,98,Horror,17634867
200000,2000000,Vincent Price,Roger Corman,80,Horror,1800000
220000,2040920,Carlos Gallardo,Robert Rodriguez,81,Action,1820920
230000,25000000,Martin Speer,Wes Craven,89,Horror,24770000
250000,3542353,Anton Yelchin,Drake Doremus,90,Drama,3292353
250000,12021272,Ben Affleck,Kevin Smith,113,Comedy,11771272
250000,154323,Eric Freeman,Lee Harry,88,Comedy,-95677
250000,4186931,Catherine Keener,Nicole Holofcener,91,Comedy,3936931
250000,56825,Lindsay Lohan,Paul Schrader,99,Thriller,-193175
250000,232732,Patton Oswalt,Robert D. Siegel,91,Comedy,-17268
250000,501818,Nicole de Boer,Vincenzo Natali,90,Thriller,251818
300000,11988469,Angus Scrimm,Don Coscarelli,89,Horror,11688469
300000,2750275,Tom Schilling,Jan Ole Gerster,88,Comedy,2450275
300000,70000000,Donald Pleasence,John Carpenter,91,Horror,69700000
318000,121179,Baya Rehaz,Clif Prowse,85,Horror,-196821
350000,29400000,Bruce Campbell,Sam Raimi,85,Horror,29050000
350000,3515061,Zana Briski,Zana Briski,85,Documentary,3165061
400000,100000000,Mel Gibson,George Miller,93,Adventure,99600000
400000,46118097,Jon Heder,Jared Hess,95,Comedy,45718097
400000,5028948,Graham Chapman,Terry Gilliam,91,Adventure,4628948
425000,10604986,Kate McNeil,Mark Rosman,91,Horror,10179986
441892,1030375,Salman Khan,David Dhawan,155,Comedy,588483
447524,771317,Jack Black,Andrew Mogel,101,Drama,323793
450000,973525,Helena Bonham Carter,Hans Canosa,84,Drama,523525
450000,2049595,Tori Spelling,Jim Fall,89,Comedy,1599595
475000,3919254,Joseph Gordon-Levitt,Rian Johnson,110,Drama,3444254
500000,10166459,Jean-Claude Van Damme,Albert Pyun,86,Action,9666459
500000,33456317,Kirk Cameron,Alex Kendrick,122,Drama,32956317
500000,2500000,Anne Bancroft,Arthur Penn,106,Drama,2000000
500000,171760,Neil Maskell,Ben Wheatley,95,Horror,-328240
500000,15000000,Josh Hartnett,Brian Horiuchi,139,Science Fiction,14500000
500000,1000000,Nicholas Hope,Daniel Krige,93,Thriller,500000
500000,4242978,Whitney Able,Gareth Edwards,94,Drama,3742978
500000,603943,Rory Culkin,Jacob Aaron Estes,90,Crime,103943
500000,376597,Mary Elizabeth Winstead,James Ponsoldt,85,Drama,-123403
500000,3779620,Dorian Corey,Jennie Livingston,71,Documentary,3279620
500000,17000000,William Shatner,John 'Bud' Cardos,97,Horror,16500000
500000,150277,Angela Bettis,Lucky McKee,93,Drama,-349723
500000,3000000,Harvey Keitel,Martin Scorsese,110,Drama,2500000
500000,220151,Jonathon Trent,Q. Allan Brocka,88,Drama,-279849
500000,98017,Thomas F. Duffy,Quentin Dupieux,85,Comedy,-401983
500000,1000549,John Lennon,Richard Lester,88,Comedy,500549
500000,745327,Michael Carbonaro,Todd Stephens,92,Comedy,245327
500000,1148752,Steve Buscemi,Tom DiCillo,89,Drama,648752
500000,8679814,Peter Dinklage,Tom McCarthy,88,Drama,8179814
550000,59754601,Betsy Palmer,Sean S. Cunningham,95,Horror,59204601
600000,4000000,John Simm,Justin Kerrigan,99,Comedy,3400000
600000,185898,Renée Zellweger,Kim Henkel,95,Comedy,-414102
600000,7087452,Lily Tomlin,Paul Weitz,78,Drama,6487452
645180,14743391,Daniel Day-Lewis,Jim Sheridan,103,Drama,14098211
650000,55000000,David Emge,George A. Romero,127,Horror,54350000
650000,33245,Danielle Harris,Jim Mickle,98,Drama,-616755
700000,31576,Ellen Page,Bruce McDonald,77,Drama,-668424
700000,1667192,Paul Dano,Michael Cuesta,97,Drama,967192
700000,17986781,Shameik Moore,Rick Famuyiwa,103,Crime,17286781
700000,7830611,William Gates,Steve James,171,Documentary,7130611
725000,10600000,Clint Eastwood,Clint Eastwood,102,Crime,9875000
750000,4007792,Aubrey Plaza,Colin Trevorrow,85,Comedy,3257792
750000,78396,Sara Paxton,Ti West,102,Horror,-671604
777000,115000000,Richard Dreyfuss,George Lucas,110,Comedy,114223000
777000,2437000,Robert Duvall,George Lucas,86,Drama,1660000
786675,861789,Michael Caton,Rob Sitch,85,Drama,75114
800000,14000000,Peter Horton,Fritz Kiersch,93,Drama,13200000
800000,867714,Gemma Arterton,J Blakeson,100,Crime,67714
806948,32000000,Anthony Perkins,Alfred Hitchcock,109,Drama,31193052
810000,1258000,Richard Chamberlain,Peter Weir,106,Drama,448000
818418,4851244,Stefano Accorsi,Michele Placido,152,Drama,4032826
850000,819939,Steve Sandvoss,C. Jay Cox,107,Drama,-30061
850000,1243961,Ari Graynor,Jamie Travis,85,Comedy,393961
850000,90000000,Bruce Lee,Robert Clouse,99,Crime,89150000
860000,2451545,Gordon Warnecke,Stephen Frears,97,Drama,1591545
900000,6980986,Terence Knox,David Price,92,Horror,6080986
900000,381420,Elisha Cuthbert,Jamie Babbit,96,Drama,-518580
900000,8556940,Warwick Davis,Mark Jones,92,Comedy,7656940
900000,2023414,Jeffrey Combs,Stuart Gordon,86,Science Fiction,1123414
930000,30905,Krysten Ritter,Kat Coiro,100,Comedy,-899095
950000,7022209,Patrick Wilson,David Slade,103,Drama,6072209
950000,814666,Cliff Robertson,Ralph Nelson,103,Drama,-135334
967686,4270000,Riz Ahmed,Chris Morris,101,Comedy,3302314
994000,165000,Aml Ameen,Menhaj Huda,89,Drama,-829000
1000000,2554476,Christopher Walken,Abel Ferrara,103,Thriller,1554476
1000000,2019469,Harvey Keitel,Abel Ferrara,96,Crime,1019469
1000000,274661,Brian Keith Allen,Alex Gibney,106,Documentary,-725339
1000000,34522221,Alex Kendrick,Alex Kendrick,129,Drama,33522221
1000000,395000,Sheila Vand,Ana Lily Amirpour,99,Horror,-605000
1000000,6933459,Kuei Ya-Lei,Ang Lee,109,Comedy,5933459
1000000,9138338,John Hawkes,Ben Lewin,98,Drama,8138338
1000000,24475416,Billy Bob Thornton,Billy Bob Thornton,135,Drama,23475416
1000000,10013424,Jennifer Westfeldt,Charles Herman-Wurmfeld,97,Comedy,9013424
1000000,1678874,Martin Sheen,Chris Paine,92,Documentary,678874
1000000,14564027,Andrew Robinson,Clive Barker,94,Horror,13564027
1000000,46243000,Al Gore,Davis Guggenheim,100,Documentary,45243000
1000000,12355734,Ryan Gosling,Derek Cianfrance,112,Drama,11355734
1000000,13350369,Felicity Huffman,Duncan Tucker,103,Drama,12350369
1000000,1744858,Ben Weber,Greg Berlanti,94,Comedy,744858
1000000,27762648,John Jarratt,Greg McLean,99,Horror,26762648
1000000,7202,Michael Rapaport,Hal Haberman,81,Drama,-992798
1000000,10047674,Julian Morris,Jeff Wadlow,90,Horror,9047674
1000000,17985893,Patrick Macnee,Joe Dante,91,Drama,16985893
1000000,21378361,Adrienne Barbeau,John Carpenter,89,Horror,20378361
1000000,51525171,Emilio Estevez,John Hughes,97,Comedy,50525171
1000000,2000000,Warren Oates,John Milius,107,Action,1000000
1000000,2963902,Lake Bell,Lake Bell,93,Comedy,1963902
1000000,9318,Rose Leslie,Leigh Janiak,87,Horror,-990682
1000000,62882090,Shelley Hennig,Levan Gabriadze,82,Horror,61882090
1000000,35000000,Peter Liapis,Luca Bercovici,81,Comedy,34000000
1000000,3713768,John Hurt,Martin Rosen,88,Adventure,2713768
1000000,14444999,Sally Field,Michael Showalter,95,Comedy,13444999
1000000,332323,Kieran O'Brien,Michael Winterbottom,66,Drama,-667677
1000000,1296971,Michael Cera,Nicholas Jasenovec,88,Comedy,296971
1000000,14796236,Leslie Nielsen,Paul Lynch,92,Horror,13796236
1000000,26501323,Helen McCrory,Tom Harper,90,Thriller,25501323
1000000,78868508,Nick Nolte,Walter Hill,96,Thriller,77868508
1000000,101758490,Fernanda Andrade,William Brent Bell,83,Thriller,100758490
1052753,466088,Piolo Pascual,Erik Matti,120,Action,-586665
1100000,5450815,Noah Hathaway,John Carl Buechler,82,Fantasy,4350815
1100000,117235147,Sylvester Stallone,John G. Avildsen,119,Drama,116135147
1100000,631221,Kevin Gage,John Pieplow,86,Horror,-468779
1100000,59600000,Sean Connery,Terence Young,110,Adventure,58500000
1200000,2861020,Scott Elrod,David Boyd,114,Drama,1661020
1200000,103911669,Cary Elwes,James Wan,103,Horror,102711669
1200000,112892319,Tim Curry,Jim Sharman,100,Comedy,111692319
1200000,71215869,Bob Newhart,John Lounsbery,78,Fantasy,70015869
1200000,4978922,David Byrne,Jonathan Demme,88,Documentary,3778922
1200000,3109904,Cathy Podewell,Kevin Tenney,90,Horror,1909904
1200000,14661007,Harvey Keitel,Quentin Tarantino,99,Crime,13461007
1200000,9000000,Bob Holt,Ralph Bakshi,80,Animation,7800000
1200000,760883,Randy Norton,Ralph Bakshi,81,Animation,-439117
1250000,3412497,John Heard,Douglas Cheek,88,Horror,2162497
1250000,21722776,Amy Steel,Steve Miner,87,Horror,20472776
1300000,447741,James Ransone,Larry Clark,97,Drama,-852259
1300000,28262574,Robert De Niro,Martin Scorsese,113,Crime,26962574
1300000,29133000,Timothy Bottoms,Peter Bogdanovich,118,Drama,27833000
