budget,revenue,actor,director,runtime,genre,variance,profit
7000,424760,Shane Carruth,Shane Carruth,79,Science Fiction,60.68,417760
8000,469947,Tom Cullen,Andrew Haigh,96,Drama,58.743375,461947
10000,7000000,Jack Nance,David Lynch,89,Science Fiction,700,6990000
12000,6000000,Divine,John Waters,93,Comedy,500,5988000
15000,193355800,Katie Featherston,Oren Peli,86,Horror,12890.38667,193340800
17000,101236,Evan Glodell,Evan Glodell,106,Action,5.955058824,84236
25000,248000000,Heather Donahue,Daniel Myrick,81,Horror,9920,247975000
27000,3151130,Brian O'Halloran,Kevin Smith,92,Comedy,116.7085185,3124130
30000,617000,James Franco,Rob Epstein,84,Drama,20.56666667,587000
30000,3045943,Megan Faccio,Henry Joost,87,Documentary,101.5314333,3015943
31192,10000,Robert Hill,Ben Wheatley,89,Drama,0.3205950244,-21192
40000,1434436,Robert Evans,Nanette Burstein,93,Documentary,35.8609,1394436
45202,225861,Cindy Baer,Kevin Macdonald,95,Documentary,4.996703686,180659
50000,249905,Anessa Ramsey,David Bruckner,103,Horror,4.9981,199905
60000,3221152,Sean Gullette,Darren Aronofsky,84,Mystery,53.68586667,3161152
65000,28575078,Morgan Spurlock,Morgan Spurlock,100,Documentary,439.6165846,28510078
74050,176153,Asia Argento,Asia Argento,98,Drama,2.378838623,102103
79000,245000,Danny McBride,Jody Hill,85,Comedy,3.101265823,166000
85000,30859000,Allen Danziger,Tobe Hooper,83,Horror,363.0470588,30774000
100000,42664410,Cassidy Gifford,Travis Cluff,87,Horror,426.6441,42564410
100000,444098,Amy Seimetz,Shane Carruth,96,Drama,4.44098,344098
100000,490475,Uma Thurman,Richard Linklater,86,Drama,4.90475,390475
100000,1776935,Brit Marling,Mike Cahill,92,Drama,17.76935,1676935
100000,95000,Ross Noble,Conor McMahon,86,Horror,0.95,-5000
100000,10178331,James Blackwell,Alex Kendrick,111,Drama,101.78331,10078331
125000,3200000,Mark Duplass,Lynn Shelton,90,Drama,25.6,3075000
130000,54667954,Blanchard Ryan,Chris Kentis,79,Drama,420.5227231,54537954
134005,1332231,Li Bingbing,Wayne Wang,104,History,9.941651431,1198226
160000,20710513,Glen Hansard,John Carney,85,Drama,129.4407063,20550513
169000,18564702,Rowan Atkinson,Niall Johnson,103,Comedy,109.8503077,18395702
200000,2000000,Vincent Price,Roger Corman,80,Horror,10,1800000
200000,17834867,Jared Harris,John Pogue,98,Horror,89.174335,17634867
200000,4505922,Jon Favreau,Doug Liman,94,Comedy,22.52961,4305922
220000,2040920,Carlos Gallardo,Robert Rodriguez,81,Action,9.276909091,1820920
230000,25000000,Martin Speer,Wes Craven,89,Horror,108.6956522,24770000
250000,501818,Nicole de Boer,Vincenzo Natali,90,Thriller,2.007272,251818
250000,232732,Patton Oswalt,Robert D. Siegel,91,Comedy,0.930928,-17268
250000,56825,Lindsay Lohan,Paul Schrader,99,Thriller,0.2273,-193175
250000,4186931,Catherine Keener,Nicole Holofcener,91,Comedy,16.747724,3936931
250000,154323,Eric Freeman,Lee Harry,88,Comedy,0.617292,-95677
250000,12021272,Ben Affleck,Kevin Smith,113,Comedy,48.085088,11771272
250000,3542353,Anton Yelchin,Drake Doremus,90,Drama,14.169412,3292353
300000,70000000,Donald Pleasence,John Carpenter,91,Horror,233.3333333,69700000
300000,2750275,Tom Schilling,Jan Ole Gerster,88,Comedy,9.167583333,2450275
300000,11988469,Angus Scrimm,Don Coscarelli,89,Horror,39.96156333,11688469
318000,121179,Baya Rehaz,Clif Prowse,85,Horror,0.3810660377,-196821
350000,3515061,Zana Briski,Zana Briski,85,Documentary,10.04303143,3165061
350000,29400000,Bruce Campbell,Sam Raimi,85,Horror,84,29050000
400000,5028948,Graham Chapman,Terry Gilliam,91,Adventure,12.57237,4628948
400000,46118097,Jon Heder,Jared Hess,95,Comedy,115.2952425,45718097
400000,100000000,Mel Gibson,George Miller,93,Adventure,250,99600000
425000,10604986,Kate McNeil,Mark Rosman,91,Horror,24.95290824,10179986
441892,1030375,Salman Khan,David Dhawan,155,Comedy,2.331734904,588483
447524,771317,Jack Black,Andrew Mogel,101,Drama,1.723520973,323793
450000,2049595,Tori Spelling,Jim Fall,89,Comedy,4.554655556,1599595
450000,973525,Helena Bonham Carter,Hans Canosa,84,Drama,2.163388889,523525
475000,3919254,Joseph Gordon-Levitt,Rian Johnson,110,Drama,8.251061053,3444254
500000,8679814,Peter Dinklage,Tom McCarthy,88,Drama,17.359628,8179814
500000,1148752,Steve Buscemi,Tom DiCillo,89,Drama,2.297504,648752
500000,745327,Michael Carbonaro,Todd Stephens,92,Comedy,1.490654,245327
500000,1000549,John Lennon,Richard Lester,88,Comedy,2.001098,500549
500000,98017,Thomas F. Duffy,Quentin Dupieux,85,Comedy,0.196034,-401983
500000,220151,Jonathon Trent,Q. Allan Brocka,88,Drama,0.440302,-279849
500000,3000000,Harvey Keitel,Martin Scorsese,110,Drama,6,2500000
